Task ID,Tier,Boss/Activity,Task Name,Explanation
72,Grandmaster,Phantom Muspah,Phantom Muspah Challenge Task,Complete a designated milestone or special combat condition against Phantom Muspah.
73,Hard,Inferno,Inferno Challenge Task,Complete a designated milestone or special combat condition against Inferno.
74,Grandmaster,Commander Zilyana,Commander Zilyana Challenge Task,Complete a designated milestone or special combat condition against Commander Zilyana.
75,Grandmaster,Inferno,Inferno Challenge Task,Complete a designated milestone or special combat condition against Inferno.
76,Master,Corrupted Gauntlet,Corrupted Gauntlet Challenge Task,Complete a designated milestone or special combat condition against Corrupted Gauntlet.
77,Hard,Nex,Nex Challenge Task,Complete a designated milestone or special combat condition against Nex.
78,Master,Theatre of Blood,Theatre of Blood Challenge Task,Complete a designated milestone or special combat condition against Theatre of Blood.
79,Hard,Leviathan,Leviathan Challenge Task,Complete a designated milestone or special combat condition against Leviathan.
80,Grandmaster,Vardorvis,Vardorvis Challenge Task,Complete a designated milestone or special combat condition against Vardorvis.
81,Grandmaster,Phantom Muspah,Phantom Muspah Challenge Task,Complete a designated milestone or special combat condition against Phantom Muspah.
82,Master,Zulrah,Zulrah Challenge Task,Complete a designated milestone or special combat condition against Zulrah.
83,Elite,Corrupted Gauntlet,Corrupted Gauntlet Challenge Task,Complete a designated milestone or special combat condition against Corrupted Gauntlet.
84,Hard,Corrupted Gauntlet,Corrupted Gauntlet Challenge Task,Complete a designated milestone or special combat condition against Corrupted Gauntlet.
85,Elite,Vardorvis,Vardorvis Challenge Task,Complete a designated milestone or special combat condition against Vardorvis.
86,Master,Tombs of Amascut,Tombs of Amascut Challenge Task,Complete a designated milestone or special combat condition against Tombs of Amascut.
87,Hard,Phantom Muspah,Phantom Muspah Challenge Task,Complete a designated milestone or special combat condition against Phantom Muspah.
88,Master,Inferno,Inferno Challenge Task,Complete a designated milestone or special combat condition against Inferno.
89,Hard,K'ril Tsutsaroth,K'ril Tsutsaroth Challenge Task,Complete a designated milestone or special combat condition against K'ril Tsutsaroth.
90,Master,Theatre of Blood,Theatre of Blood Challenge Task,Complete a designated milestone or special combat condition against Theatre of Blood.
91,Elite,Vardorvis,Vardorvis Challenge Task,Complete a designated milestone or special combat condition against Vardorvis.
92,Elite,Vorkath,Vorkath Challenge Task,Complete a designated milestone or special combat condition against Vorkath.
93,Hard,Colosseum,Colosseum Challenge Task,Complete a designated milestone or special combat condition against Colosseum.
94,Grandmaster,Chambers of Xeric,Chambers of Xeric Challenge Task,Complete a designated milestone or special combat condition against Chambers of Xeric.
95,Elite,Chambers of Xeric,Chambers of Xeric Challenge Task,Complete a designated milestone or special combat condition against Chambers of Xeric.
96,Grandmaster,Tombs of Amascut,Tombs of Amascut Challenge Task,Complete a designated milestone or special combat condition against Tombs of Amascut.
97,Elite,Nex,Nex Challenge Task,Complete a designated milestone or special combat condition against Nex.
98,Grandmaster,The Whisperer,The Whisperer Challenge Task,Complete a designated milestone or special combat condition against The Whisperer.
99,Elite,Araxxor,Araxxor Challenge Task,Complete a designated milestone or special combat condition against Araxxor.
100,Grandmaster,Vardorvis,Vardorvis Challenge Task,Complete a designated milestone or special combat condition against Vardorvis.
101,Grandmaster,Alchemical Hydra,Alchemical Hydra Challenge Task,Complete a designated milestone or special combat condition against Alchemical Hydra.
102,Grandmaster,Corrupted Gauntlet,Corrupted Gauntlet Challenge Task,Complete a designated milestone or special combat condition against Corrupted Gauntlet.
103,Elite,Theatre of Blood,Theatre of Blood Challenge Task,Complete a designated milestone or special combat condition against Theatre of Blood.
104,Hard,Duke Succellus,Duke Succellus Challenge Task,Complete a designated milestone or special combat condition against Duke Succellus.
105,Hard,Leviathan,Leviathan Challenge Task,Complete a designated milestone or special combat condition against Leviathan.
106,Elite,Colosseum,Colosseum Challenge Task,Complete a designated milestone or special combat condition against Colosseum.
107,Elite,Colosseum,Colosseum Challenge Task,Complete a designated milestone or special combat condition against Colosseum.
108,Hard,Zulrah,Zulrah Challenge Task,Complete a designated milestone or special combat condition against Zulrah.
109,Elite,Vorkath,Vorkath Challenge Task,Complete a designated milestone or special combat condition against Vorkath.
110,Hard,Chambers of Xeric,Chambers of Xeric Challenge Task,Complete a designated milestone or special combat condition against Chambers of Xeric.
111,Hard,Leviathan,Leviathan Challenge Task,Complete a designated milestone or special combat condition against Leviathan.
112,Elite,Corrupted Gauntlet,Corrupted Gauntlet Challenge Task,Complete a designated milestone or special combat condition against Corrupted Gauntlet.
113,Grandmaster,The Whisperer,The Whisperer Challenge Task,Complete a designated milestone or special combat condition against The Whisperer.
114,Elite,Araxxor,Araxxor Challenge Task,Complete a designated milestone or special combat condition against Araxxor.
115,Grandmaster,Colosseum,Colosseum Challenge Task,Complete a designated milestone or special combat condition against Colosseum.
116,Grandmaster,Duke Succellus,Duke Succellus Challenge Task,Complete a designated milestone or special combat condition against Duke Succellus.
117,Elite,General Graardor,General Graardor Challenge Task,Complete a designated milestone or special combat condition against General Graardor.
118,Hard,Theatre of Blood,Theatre of Blood Challenge Task,Complete a designated milestone or special combat condition against Theatre of Blood.
119,Master,General Graardor,General Graardor Challenge Task,Complete a designated milestone or special combat condition against General Graardor.
120,Grandmaster,General Graardor,General Graardor Challenge Task,Complete a designated milestone or special combat condition against General Graardor.
121,Hard,Kree'arra,Kree'arra Challenge Task,Complete a designated milestone or special combat condition against Kree'arra.
122,Hard,Theatre of Blood,Theatre of Blood Challenge Task,Complete a designated milestone or special combat condition against Theatre of Blood.
123,Master,Commander Zilyana,Commander Zilyana Challenge Task,Complete a designated milestone or special combat condition against Commander Zilyana.
124,Elite,Theatre of Blood,Theatre of Blood Challenge Task,Complete a designated milestone or special combat condition against Theatre of Blood.
125,Elite,Araxxor,Araxxor Challenge Task,Complete a designated milestone or special combat condition against Araxxor.
126,Grandmaster,Nex,Nex Challenge Task,Complete a designated milestone or special combat condition against Nex.
127,Grandmaster,Tombs of Amascut,Tombs of Amascut Challenge Task,Complete a designated milestone or special combat condition against Tombs of Amascut.
128,Master,Phantom Muspah,Phantom Muspah Challenge Task,Complete a designated milestone or special combat condition against Phantom Muspah.
129,Elite,Kree'arra,Kree'arra Challenge Task,Complete a designated milestone or special combat condition against Kree'arra.
130,Grandmaster,Chambers of Xeric,Chambers of Xeric Challenge Task,Complete a designated milestone or special combat condition against Chambers of Xeric.
131,Hard,Nex,Nex Challenge Task,Complete a designated milestone or special combat condition against Nex.
132,Hard,Vorkath,Vorkath Challenge Task,Complete a designated milestone or special combat condition against Vorkath.
133,Elite,Chambers of Xeric,Chambers of Xeric Challenge Task,Complete a designated milestone or special combat condition against Chambers of Xeric.
134,Grandmaster,Phantom Muspah,Phantom Muspah Challenge Task,Complete a designated milestone or special combat condition against Phantom Muspah.
135,Grandmaster,K'ril Tsutsaroth,K'ril Tsutsaroth Challenge Task,Complete a designated milestone or special combat condition against K'ril Tsutsaroth.
136,Grandmaster,Araxxor,Araxxor Challenge Task,Complete a designated milestone or special combat condition against Araxxor.
137,Elite,Vorkath,Vorkath Challenge Task,Complete a designated milestone or special combat condition against Vorkath.
138,Hard,Commander Zilyana,Commander Zilyana Challenge Task,Complete a designated milestone or special combat condition against Commander Zilyana.
139,Master,Commander Zilyana,Commander Zilyana Challenge Task,Complete a designated milestone or special combat condition against Commander Zilyana.
140,Master,Kree'arra,Kree'arra Challenge Task,Complete a designated milestone or special combat condition against Kree'arra.
141,Grandmaster,General Graardor,General Graardor Challenge Task,Complete a designated milestone or special combat condition against General Graardor.
142,Elite,Tombs of Amascut,Tombs of Amascut Challenge Task,Complete a designated milestone or special combat condition against Tombs of Amascut.
143,Elite,Vardorvis,Vardorvis Challenge Task,Complete a designated milestone or special combat condition against Vardorvis.
144,Hard,Vorkath,Vorkath Challenge Task,Complete a designated milestone or special combat condition against Vorkath.
145,Hard,Leviathan,Leviathan Challenge Task,Complete a designated milestone or special combat condition against Leviathan.
146,Grandmaster,Vorkath,Vorkath Challenge Task,Complete a designated milestone or special combat condition against Vorkath.
147,Elite,Corrupted Gauntlet,Corrupted Gauntlet Challenge Task,Complete a designated milestone or special combat condition against Corrupted Gauntlet.
148,Hard,Vorkath,Vorkath Challenge Task,Complete a designated milestone or special combat condition against Vorkath.
149,Hard,Phantom Muspah,Phantom Muspah Challenge Task,Complete a designated milestone or special combat condition against Phantom Muspah.
150,Hard,Inferno,Inferno Challenge Task,Complete a designated milestone or special combat condition against Inferno.
151,Grandmaster,Duke Succellus,Duke Succellus Challenge Task,Complete a designated milestone or special combat condition against Duke Succellus.
152,Elite,Theatre of Blood,Theatre of Blood Challenge Task,Complete a designated milestone or special combat condition against Theatre of Blood.
153,Hard,Colosseum,Colosseum Challenge Task,Complete a designated milestone or special combat condition against Colosseum.
154,Hard,Inferno,Inferno Challenge Task,Complete a designated milestone or special combat condition against Inferno.
155,Master,General Graardor,General Graardor Challenge Task,Complete a designated milestone or special combat condition against General Graardor.
156,Elite,The Whisperer,The Whisperer Challenge Task,Complete a designated milestone or special combat condition against The Whisperer.
157,Elite,Leviathan,Leviathan Challenge Task,Complete a designated milestone or special combat condition against Leviathan.
158,Grandmaster,The Whisperer,The Whisperer Challenge Task,Complete a designated milestone or special combat condition against The Whisperer.
159,Master,Tombs of Amascut,Tombs of Amascut Challenge Task,Complete a designated milestone or special combat condition against Tombs of Amascut.
160,Master,Kree'arra,Kree'arra Challenge Task,Complete a designated milestone or special combat condition against Kree'arra.
161,Hard,Chambers of Xeric,Chambers of Xeric Challenge Task,Complete a designated milestone or special combat condition against Chambers of Xeric.
162,Hard,Kree'arra,Kree'arra Challenge Task,Complete a designated milestone or special combat condition against Kree'arra.
163,Elite,Chambers of Xeric,Chambers of Xeric Challenge Task,Complete a designated milestone or special combat condition against Chambers of Xeric.
164,Medium,King Black Dragon,Claw Clipper,Kill the King Black Dragon with Protect from Melee activated.
165,Master,Corrupted Gauntlet,Corrupted Gauntlet Challenge Task,Complete a designated milestone or special combat condition against Corrupted Gauntlet.
166,Master,Tombs of Amascut,Tombs of Amascut Challenge Task,Complete a designated milestone or special combat condition against Tombs of Amascut.
167,Elite,Chambers of Xeric,Chambers of Xeric Challenge Task,Complete a designated milestone or special combat condition against Chambers of Xeric.
168,Master,Alchemical Hydra,Alchemical Hydra Challenge Task,Complete a designated milestone or special combat condition against Alchemical Hydra.
169,Grandmaster,Phantom Muspah,Phantom Muspah Challenge Task,Complete a designated milestone or special combat condition against Phantom Muspah.
170,Master,Nex,Nex Challenge Task,Complete a designated milestone or special combat condition against Nex.
171,Hard,Inferno,Inferno Challenge Task,Complete a designated milestone or special combat condition against Inferno.
172,Master,Nex,Nex Challenge Task,Complete a designated milestone or special combat condition against Nex.
173,Elite,Theatre of Blood,Theatre of Blood Challenge Task,Complete a designated milestone or special combat condition against Theatre of Blood.
174,Hard,The Whisperer,The Whisperer Challenge Task,Complete a designated milestone or special combat condition against The Whisperer.
175,Elite,Theatre of Blood,Theatre of Blood Challenge Task,Complete a designated milestone or special combat condition against Theatre of Blood.
176,Master,The Whisperer,The Whisperer Challenge Task,Complete a designated milestone or special combat condition against The Whisperer.
177,Elite,Inferno,Inferno Challenge Task,Complete a designated milestone or special combat condition against Inferno.
178,Elite,Leviathan,Leviathan Challenge Task,Complete a designated milestone or special combat condition against Leviathan.
179,Grandmaster,The Whisperer,The Whisperer Challenge Task,Complete a designated milestone or special combat condition against The Whisperer.
180,Hard,The Whisperer,The Whisperer Challenge Task,Complete a designated milestone or special combat condition against The Whisperer.
181,Grandmaster,Chambers of Xeric,Chambers of Xeric Challenge Task,Complete a designated milestone or special combat condition against Chambers of Xeric.
182,Hard,The Whisperer,The Whisperer Challenge Task,Complete a designated milestone or special combat condition against The Whisperer.
183,Master,Zulrah,Zulrah Challenge Task,Complete a designated milestone or special combat condition against Zulrah.
184,Master,Tombs of Amascut,Tombs of Amascut Challenge Task,Complete a designated milestone or special combat condition against Tombs of Amascut.
185,Grandmaster,Phantom Muspah,Phantom Muspah Challenge Task,Complete a designated milestone or special combat condition against Phantom Muspah.
186,Grandmaster,Nex,Nex Challenge Task,Complete a designated milestone or special combat condition against Nex.
187,Hard,Nex,Nex Challenge Task,Complete a designated milestone or special combat condition against Nex.
188,Hard,Theatre of Blood,Theatre of Blood Challenge Task,Complete a designated milestone or special combat condition against Theatre of Blood.
189,Hard,Tombs of Amascut,Tombs of Amascut Challenge Task,Complete a designated milestone or special combat condition against Tombs of Amascut.
190,Elite,Alchemical Hydra,Alchemical Hydra Challenge Task,Complete a designated milestone or special combat condition against Alchemical Hydra.
191,Elite,General Graardor,General Graardor Challenge Task,Complete a designated milestone or special combat condition against General Graardor.
192,Master,Vorkath,Vorkath Challenge Task,Complete a designated milestone or special combat condition against Vorkath.
193,Hard,Alchemical Hydra,Alchemical Hydra Challenge Task,Complete a designated milestone or special combat condition against Alchemical Hydra.
194,Elite,Alchemical Hydra,Alchemical Hydra Challenge Task,Complete a designated milestone or special combat condition against Alchemical Hydra.
195,Hard,Duke Succellus,Duke Succellus Challenge Task,Complete a designated milestone or special combat condition against Duke Succellus.
196,Grandmaster,Alchemical Hydra,Alchemical Hydra Challenge Task,Complete a designated milestone or special combat condition against Alchemical Hydra.
197,Elite,Inferno,Inferno Challenge Task,Complete a designated milestone or special combat condition against Inferno.
198,Elite,Duke Succellus,Duke Succellus Challenge Task,Complete a designated milestone or special combat condition against Duke Succellus.
199,Grandmaster,Phantom Muspah,Phantom Muspah Challenge Task,Complete a designated milestone or special combat condition against Phantom Muspah.
200,Elite,Zulrah,Zulrah Challenge Task,Complete a designated milestone or special combat condition against Zulrah.
201,Grandmaster,Leviathan,Leviathan Challenge Task,Complete a designated milestone or special combat condition against Leviathan.
202,Master,Duke Succellus,Duke Succellus Challenge Task,Complete a designated milestone or special combat condition against Duke Succellus.
203,Hard,Phantom Muspah,Phantom Muspah Challenge Task,Complete a designated milestone or special combat condition against Phantom Muspah.
204,Hard,Commander Zilyana,Commander Zilyana Challenge Task,Complete a designated milestone or special combat condition against Commander Zilyana.
205,Elite,K'ril Tsutsaroth,K'ril Tsutsaroth Challenge Task,Complete a designated milestone or special combat condition against K'ril Tsutsaroth.
206,Grandmaster,Araxxor,Araxxor Challenge Task,Complete a designated milestone or special combat condition against Araxxor.
207,Master,Alchemical Hydra,Alchemical Hydra Challenge Task,Complete a designated milestone or special combat condition against Alchemical Hydra.
208,Elite,Duke Succellus,Duke Succellus Challenge Task,Complete a designated milestone or special combat condition against Duke Succellus.
209,Elite,Zulrah,Zulrah Challenge Task,Complete a designated milestone or special combat condition against Zulrah.
210,Master,Commander Zilyana,Commander Zilyana Challenge Task,Complete a designated milestone or special combat condition against Commander Zilyana.
211,Hard,The Whisperer,The Whisperer Challenge Task,Complete a designated milestone or special combat condition against The Whisperer.
212,Master,The Whisperer,The Whisperer Challenge Task,Complete a designated milestone or special combat condition against The Whisperer.
213,Grandmaster,Corrupted Gauntlet,Corrupted Gauntlet Challenge Task,Complete a designated milestone or special combat condition against Corrupted Gauntlet.
214,Master,Nex,Nex Challenge Task,Complete a designated milestone or special combat condition against Nex.
215,Hard,Zulrah,Zulrah Challenge Task,Complete a designated milestone or special combat condition against Zulrah.
216,Elite,The Whisperer,The Whisperer Challenge Task,Complete a designated milestone or special combat condition against The Whisperer.
217,Master,Colosseum,Colosseum Challenge Task,Complete a designated milestone or special combat condition against Colosseum.
218,Hard,Vorkath,Vorkath Challenge Task,Complete a designated milestone or special combat condition against Vorkath.
219,Grandmaster,Inferno,Inferno Challenge Task,Complete a designated milestone or special combat condition against Inferno.
220,Master,Alchemical Hydra,Alchemical Hydra Challenge Task,Complete a designated milestone or special combat condition against Alchemical Hydra.
221,Hard,General Graardor,General Graardor Challenge Task,Complete a designated milestone or special combat condition against General Graardor.
222,Elite,Commander Zilyana,Commander Zilyana Challenge Task,Complete a designated milestone or special combat condition against Commander Zilyana.
223,Hard,The Whisperer,The Whisperer Challenge Task,Complete a designated milestone or special combat condition against The Whisperer.
224,Hard,General Graardor,General Graardor Challenge Task,Complete a designated milestone or special combat condition against General Graardor.
225,Elite,Corrupted Gauntlet,Corrupted Gauntlet Challenge Task,Complete a designated milestone or special combat condition against Corrupted Gauntlet.
226,Grandmaster,Alchemical Hydra,Alchemical Hydra Challenge Task,Complete a designated milestone or special combat condition against Alchemical Hydra.
227,Master,Chambers of Xeric,Chambers of Xeric Challenge Task,Complete a designated milestone or special combat condition against Chambers of Xeric.
228,Master,Inferno,Inferno Challenge Task,Complete a designated milestone or special combat condition against Inferno.
229,Master,Theatre of Blood,Theatre of Blood Challenge Task,Complete a designated milestone or special combat condition against Theatre of Blood.
230,Master,Corrupted Gauntlet,Corrupted Gauntlet Challenge Task,Complete a designated milestone or special combat condition against Corrupted Gauntlet.
231,Master,General Graardor,General Graardor Challenge Task,Complete a designated milestone or special combat condition against General Graardor.
232,Master,Commander Zilyana,Commander Zilyana Challenge Task,Complete a designated milestone or special combat condition against Commander Zilyana.
233,Elite,Nex,Nex Challenge Task,Complete a designated milestone or special combat condition against Nex.
234,Grandmaster,Araxxor,Araxxor Challenge Task,Complete a designated milestone or special combat condition against Araxxor.
235,Elite,Commander Zilyana,Commander Zilyana Challenge Task,Complete a designated milestone or special combat condition against Commander Zilyana.
236,Master,Inferno,Inferno Challenge Task,Complete a designated milestone or special combat condition against Inferno.
237,Hard,Commander Zilyana,Commander Zilyana Challenge Task,Complete a designated milestone or special combat condition against Commander Zilyana.
238,Master,Vardorvis,Vardorvis Challenge Task,Complete a designated milestone or special combat condition against Vardorvis.
239,Grandmaster,Araxxor,Araxxor Challenge Task,Complete a designated milestone or special combat condition against Araxxor.
240,Master,Colosseum,Colosseum Challenge Task,Complete a designated milestone or special combat condition against Colosseum.
241,Grandmaster,Kree'arra,Kree'arra Challenge Task,Complete a designated milestone or special combat condition against Kree'arra.
242,Elite,Kree'arra,Kree'arra Challenge Task,Complete a designated milestone or special combat condition against Kree'arra.
243,Grandmaster,Corrupted Gauntlet,Corrupted Gauntlet Challenge Task,Complete a designated milestone or special combat condition against Corrupted Gauntlet.
244,Hard,Phantom Muspah,Phantom Muspah Challenge Task,Complete a designated milestone or special combat condition against Phantom Muspah.
245,Master,Vardorvis,Vardorvis Challenge Task,Complete a designated milestone or special combat condition against Vardorvis.
246,Elite,Chambers of Xeric,Chambers of Xeric Challenge Task,Complete a designated milestone or special combat condition against Chambers of Xeric.
247,Elite,Vardorvis,Vardorvis Challenge Task,Complete a designated milestone or special combat condition against Vardorvis.
248,Elite,Araxxor,Araxxor Challenge Task,Complete a designated milestone or special combat condition against Araxxor.
249,Hard,Zulrah,Zulrah Challenge Task,Complete a designated milestone or special combat condition against Zulrah.
250,Grandmaster,Duke Succellus,Duke Succellus Challenge Task,Complete a designated milestone or special combat condition against Duke Succellus.
251,Hard,Inferno,Inferno Challenge Task,Complete a designated milestone or special combat condition against Inferno.
252,Grandmaster,Kree'arra,Kree'arra Challenge Task,Complete a designated milestone or special combat condition against Kree'arra.
253,Elite,Colosseum,Colosseum Challenge Task,Complete a designated milestone or special combat condition against Colosseum.
254,Grandmaster,Commander Zilyana,Commander Zilyana Challenge Task,Complete a designated milestone or special combat condition against Commander Zilyana.
255,Elite,Commander Zilyana,Commander Zilyana Challenge Task,Complete a designated milestone or special combat condition against Commander Zilyana.
256,Hard,Tombs of Amascut,Tombs of Amascut Challenge Task,Complete a designated milestone or special combat condition against Tombs of Amascut.
257,Grandmaster,Theatre of Blood,Theatre of Blood Challenge Task,Complete a designated milestone or special combat condition against Theatre of Blood.
258,Elite,Duke Succellus,Duke Succellus Challenge Task,Complete a designated milestone or special combat condition against Duke Succellus.
259,Grandmaster,Corrupted Gauntlet,Corrupted Gauntlet Challenge Task,Complete a designated milestone or special combat condition against Corrupted Gauntlet.
260,Elite,Vorkath,Vorkath Challenge Task,Complete a designated milestone or special combat condition against Vorkath.
261,Grandmaster,Theatre of Blood,Theatre of Blood Challenge Task,Complete a designated milestone or special combat condition against Theatre of Blood.
262,Grandmaster,Tombs of Amascut,Tombs of Amascut Challenge Task,Complete a designated milestone or special combat condition against Tombs of Amascut.
263,Master,Corrupted Gauntlet,Corrupted Gauntlet Challenge Task,Complete a designated milestone or special combat condition against Corrupted Gauntlet.
264,Grandmaster,Kree'arra,Kree'arra Challenge Task,Complete a designated milestone or special combat condition against Kree'arra.
265,Grandmaster,Nex,Nex Challenge Task,Complete a designated milestone or special combat condition against Nex.
266,Grandmaster,Phantom Muspah,Phantom Muspah Challenge Task,Complete a designated milestone or special combat condition against Phantom Muspah.
267,Master,Kree'arra,Kree'arra Challenge Task,Complete a designated milestone or special combat condition against Kree'arra.
268,Master,Duke Succellus,Duke Succellus Challenge Task,Complete a designated milestone or special combat condition against Duke Succellus.
269,Grandmaster,Corrupted Gauntlet,Corrupted Gauntlet Challenge Task,Complete a designated milestone or special combat condition against Corrupted Gauntlet.
